date,open,high,low,close,volume
2021-01-01,28990.08,29688.88,28700.0,29412.84,40730301359
2021-01-02,29413.29,33300.0,29039.0,32225.91,67865420765
2021-01-03,32222.88,34810.0,32008.62,33080.66,78665235202
2021-01-04,33082.84,33666.99,27678.0,32019.99,81163475344
2021-01-05,32020.22,34499.67,29891.13,34030.64,67547324782
2021-01-06,34043.91,37000.0,33352.54,36859.26,75289433811
2021-01-07,36859.26,40425.0,36200.0,39505.56,84762141031
2021-01-08,39510.55,41986.37,36565.08,40665.15,88107519480
2021-01-09,40642.15,41406.94,38800.0,40257.43,61984162837
2021-01-10,40257.43,41452.12,34444.0,38171.57,79980747690
2021-01-11,38168.89,38273.88,30100.0,35452.59,123320567399
2021-01-12,35456.89,36604.51,32500.0,34038.98,74773277909
2021-01-13,34035.53,37888.0,32309.04,37393.66,69364315979
2021-01-14,37393.67,40127.66,36751.11,39125.14,63615990033
2021-01-15,39123.05,39697.0,34298.93,36754.67,67760757881
2021-01-16,36754.6,37948.0,35372.59,36006.94,57706187875
2021-01-17,36004.8,36860.0,33850.03,35820.0,52359854336
2021-01-18,35820.01,37402.0,34736.46,36624.23,49511702429
2021-01-19,36624.23,37857.0,35895.11,35917.28,57244195486
2021-01-20,35921.91,36415.34,33387.01,35503.09,66834573161
2021-01-21,35498.85,35628.24,30011.0,30855.95,75643067688
2021-01-22,30855.9,33867.0,28732.0,32984.93,77207272511
2021-01-23,32982.66,33488.79,31432.19,32112.01,48354737975
2021-01-24,32110.0,33086.53,30931.21,32288.56,48643830599
2021-01-25,32293.18,34888.0,31920.8,32261.87,59897054838
2021-01-26,32260.52,32960.37,30830.0,32510.82,60255421470
2021-01-27,32510.82,32584.62,29156.0,30407.13,62576762015
2021-01-28,30414.11,34000.0,29902.14,33488.99,76517157706
2021-01-29,33487.92,38570.13,31990.0,34262.11,117894572511
2021-01-30,34262.11,34900.0,32852.86,34315.63,65141828798
2021-01-31,34315.63,34387.75,32200.0,33137.74,52754542671
2021-02-01,33137.75,34728.57,32333.0,33533.19,61400400660
2021-02-02,33534.39,36000.0,33450.0,35512.67,63088585433
2021-02-03,35513.0,37723.72,35393.8,37678.37,61166818159
2021-02-04,37688.42,38769.0,36156.45,36975.0,68838074392
2021-02-05,36976.59,38349.0,36605.87,38311.49,58598066402
2021-02-06,38327.09,41000.0,38250.0,39265.43,71326033653
2021-02-07,39266.1,39737.83,37371.35,38871.42,65500641143
2021-02-08,38871.43,46750.0,38057.01,46448.1,101467222687
2021-02-09,46453.66,48200.0,45020.0,46514.73,91809846886
2021-02-10,46514.73,47349.99,43706.86,44850.0,87301089896
2021-02-11,44850.0,48690.0,44011.0,47997.91,81388911810
2021-02-12,47993.6,48912.0,46300.0,47408.34,76555041196
2021-02-13,47408.34,48199.0,46300.0,47232.45,70250456155
2021-02-14,47240.75,49700.0,47100.13,48680.69,71248675228
2021-02-15,48667.23,49093.44,45768.46,47936.37,77069903166
2021-02-16,47935.66,50645.0,47051.22,49158.71,77049582886
2021-02-17,49141.43,52640.35,48942.87,52170.01,80820545404
2021-02-18,52170.01,52549.99,50875.0,51601.73,52054723579
2021-02-19,51596.0,56370.05,50725.0,55983.56,63495496918
2021-02-20,55983.57,57563.57,54000.1,55923.52,68145460026
2021-02-21,55921.44,58367.0,55531.23,57489.16,51897585191
2021-02-22,57489.16,57577.69,46616.0,54142.13,92052420332
2021-02-23,54125.67,54206.22,44888.08,48899.99,106102492824
2021-02-24,48899.99,51415.41,47002.0,49737.82,63695521388
2021-02-25,49737.81,52107.83,46700.0,47058.48,54506565949
2021-02-26,47063.9,48464.64,44150.0,46326.2,350967941479
2021-02-27,46319.79,48356.86,45055.0,46180.75,45910946382
2021-02-28,46169.92,46656.0,43016.0,45231.75,53443887451
2021-03-01,45231.74,49829.0,45042.13,49639.4,53891300112
2021-03-02,49635.3,50250.0,47075.11,48511.6,47530897720
2021-03-03,48502.18,52666.0,48161.75,50360.0,53220811975
2021-03-04,50370.33,51798.33,47502.0,48368.52,52343816680
2021-03-05,48370.97,49473.99,46219.32,48769.47,48625928883
2021-03-06,48766.01,49210.0,47077.0,48909.84,34363564661
2021-03-07,48909.84,51459.0,48909.83,50978.61,43137459378
2021-03-08,50976.22,52425.0,49328.62,52415.23,48597428048
2021-03-09,52413.17,54936.0,51845.01,54916.38,50912227385
2021-03-10,54921.61,57402.14,53025.0,55890.69,57295577614
2021-03-11,55888.7,58113.0,54283.0,57815.47,56772343595
2021-03-12,57820.15,58065.92,55050.0,57225.91,55689944702
2021-03-13,57220.84,61788.45,56083.74,61178.5,60669829814
2021-03-14,61181.38,61680.0,58950.0,58972.7,43901225564
2021-03-15,58972.71,60601.07,54568.0,55636.15,66419369890
2021-03-16,55629.08,56970.0,53221.0,56927.11,59749798599
2021-03-17,56924.26,58996.38,54138.01,58925.54,60258313191
2021-03-18,58925.54,60100.0,56996.15,57644.95,55746041000
2021-03-19,57644.95,59461.99,56260.0,58039.66,49063873786
2021-03-20,58026.91,59928.0,57827.97,58116.7,50361731222
2021-03-21,58126.34,58651.22,55543.89,57363.32,51943414539
2021-03-22,57377.29,58421.68,53739.5,54110.07,56521454974
2021-03-23,54111.49,55858.0,53000.0,54345.54,56435023914
2021-03-24,54333.27,57209.97,51673.82,52276.16,70567223787
2021-03-25,52259.69,53238.0,50305.0,51325.01,67999812841
2021-03-26,51320.76,55125.13,51250.0,55072.44,56652197978
2021-03-27,55080.9,56640.0,53966.0,55856.53,47266542233
2021-03-28,55856.54,56587.08,54701.0,55778.82,47686580918
2021-03-29,55781.22,58400.0,54900.0,57613.48,57625587027
2021-03-30,57613.76,59397.48,57000.0,58786.46,54414116432
2021-03-31,58786.46,59800.0,56873.8,58800.0,65520826225
2021-04-01,58800.01,59474.94,57930.0,58726.48,61669163792
2021-04-02,58726.47,60055.02,58441.88,58981.04,58727860620
2021-04-03,58981.04,59752.0,56943.0,57094.34,59641344484
2021-04-04,57094.34,58500.0,56478.53,58215.94,50749662970
2021-04-05,58216.73,59251.76,56817.64,59123.02,60706272115
2021-04-06,59134.07,59475.0,57333.33,58019.98,66058027988
2021-04-07,58021.67,58630.0,55400.0,55955.75,75645303584
2021-04-08,55962.67,58152.0,55700.0,58083.1,53053855641
2021-04-09,58083.1,58869.69,57670.51,58092.68,46655208546
2021-04-10,58092.68,61218.97,57875.41,59778.6,58238470525
2021-04-11,59778.59,60658.89,59177.06,59985.26,46280252580
2021-04-12,59983.66,61199.0,59369.0,59839.82,51828688519
2021-04-13,59836.88,63774.39,59799.01,63588.22,69983454362
2021-04-14,63588.22,64899.0,61277.91,62971.8,77451779687
2021-04-15,62971.8,63831.82,62036.73,63229.04,60954381579
2021-04-16,63229.04,63604.34,60048.43,61427.27,84293007468
2021-04-17,61427.27,62572.48,59700.0,60058.86,66138759198
2021-04-18,60067.2,60437.97,51300.0,56274.41,97468872758
2021-04-19,56273.65,57600.0,54187.85,55696.83,65344865159
2021-04-20,55696.83,57111.0,53430.01,56499.29,67849323955
2021-04-21,56477.67,56810.56,53620.91,53800.86,54926612466
2021-04-22,53795.62,55469.98,50400.0,51701.59,74798630778
2021-04-23,51695.98,52130.58,47464.65,51187.27,86668667320
2021-04-24,51187.75,51260.61,48726.87,50089.15,49014494781
2021-04-25,50101.42,50591.38,47044.01,49121.0,46117114240
2021-04-26,49121.0,54400.0,48817.62,54053.6,58284039825
2021-04-27,54047.8,55509.39,53321.0,55069.62,49448222757
2021-04-28,55069.61,56476.17,53887.0,54894.03,48000572955
2021-04-29,54889.81,55226.86,52369.61,53580.0,46088929780
2021-04-30,53580.0,58075.01,53068.43,57798.77,52395931985
2021-05-01,57798.77,58550.0,57050.94,57859.28,42836427360
2021-05-02,57859.28,57972.26,56072.0,56625.2,38177405335
2021-05-03,56625.21,58986.0,56500.0,57212.73,51713139031
2021-05-04,57212.73,57247.24,53057.7,53241.92,68564706967
2021-05-05,53241.91,57980.86,52913.02,57515.69,69241316747
2021-05-06,57515.69,58400.0,55288.0,56440.66,69523285106
2021-05-07,56444.82,58735.95,55300.0,57380.39,68434023376
2021-05-08,57380.39,59559.84,56980.01,58958.05,65382980634
2021-05-09,58958.06,59300.52,56265.3,58312.57,65906690347
2021-05-10,58313.84,59592.2,53600.0,55866.41,71776546298
2021-05-11,55866.38,56962.07,54511.48,56753.19,61308396325
2021-05-12,56753.19,58041.0,48500.0,49498.77,75215403907
2021-05-13,49498.76,52500.0,46000.0,49690.11,96721152926
2021-05-14,49682.28,51569.56,48895.0,49893.48,55737497453
2021-05-15,49893.48,50730.58,46573.0,46775.51,59161047474
2021-05-16,46771.01,49808.28,43825.0,46450.79,64047871555
2021-05-17,46450.78,46646.15,42101.0,43580.5,74903638450
2021-05-18,43571.89,45851.0,42300.0,42857.15,56187365084
2021-05-19,42865.05,43591.7,30000.0,36731.75,126358098747
2021-05-20,36735.44,42605.0,35000.0,40623.33,88281943359
2021-05-21,40623.24,42275.99,33501.54,37340.77,82051616861
2021-05-22,37333.09,38889.76,35257.52,37476.83,57377273240
2021-05-23,37476.84,38319.36,31111.0,34758.67,78469274361
2021-05-24,34758.88,39966.87,34407.17,38878.56,67359584098
2021-05-25,38874.53,39878.51,36481.26,38361.81,56211915803
2021-05-26,38361.81,40900.0,37837.36,39293.23,51346735160
2021-05-27,39293.23,40440.95,37191.99,38556.88,43210968721
2021-05-28,38556.88,38900.0,34688.0,35680.47,55200191952
2021-05-29,35680.48,37325.0,33650.86,34627.82,45231013335
2021-05-30,34627.81,36500.0,33333.0,35669.44,31646080921
2021-05-31,35669.44,37534.09,34183.0,37279.31,39009847639
2021-06-01,37276.23,37918.97,35669.14,36685.0,34639423297
2021-06-02,36684.99,38237.37,35920.0,37577.91,33070867190
2021-06-03,37581.83,39489.82,37184.88,39248.55,35460750427
2021-06-04,39248.54,39291.24,35593.22,36856.52,41831090187
2021-06-05,36856.53,37921.35,34832.17,35539.49,35959473399
2021-06-06,35539.97,36477.86,35258.0,35800.48,28913440585
2021-06-07,35800.48,36812.39,33333.0,33575.91,33683936663
2021-06-08,33567.26,34069.0,31004.95,33402.13,49902050442
2021-06-09,33402.13,37573.99,32408.53,37403.86,53972919008
2021-06-10,37404.75,38425.67,35800.0,36694.05,43576032854
2021-06-11,36694.91,37695.0,35944.0,37338.44,38699736985
2021-06-12,37340.08,37448.0,34635.47,35557.33,37924228550
2021-06-13,35557.32,39396.0,34780.57,39015.24,40669112838
2021-06-14,39015.24,41076.03,38744.83,40539.47,43148914673
2021-06-15,40537.93,41322.55,39510.98,40162.37,46420149185
2021-06-16,40158.06,40499.0,38105.0,38351.0,39211635100
2021-06-17,38351.0,39554.98,37365.63,38095.17,37096670047
2021-06-18,38103.94,38216.22,35153.16,35841.81,36200887275
2021-06-19,35840.96,36457.18,34833.26,35484.79,31207279719
2021-06-20,35484.8,36139.73,33347.05,35585.78,36664034054
2021-06-21,35585.79,35741.54,31259.0,31609.82,52809038594
2021-06-22,31609.82,33352.0,28800.0,32538.37,58964353058
2021-06-23,32538.9,34881.02,31708.03,33688.35,46317108925
2021-06-24,33688.51,35295.67,32300.0,34654.58,33123368116
2021-06-25,34654.87,35500.0,31300.0,31594.63,40230904226
2021-06-26,31594.62,32711.68,30173.49,32275.19,38585385521
2021-06-27,32267.59,34749.0,32002.21,34709.23,35511640894
2021-06-28,34708.53,35301.43,33864.99,34493.22,33892523752
2021-06-29,34493.22,36675.0,34233.35,35904.28,37901460044
2021-06-30,35906.17,36094.42,34033.0,35060.0,34059036099
2021-07-01,35060.0,35066.54,32703.48,33516.11,37838957079
2021-07-02,33510.93,33972.06,32704.73,33805.02,38728974942
2021-07-03,33805.01,34953.07,33320.0,34682.16,24383958643
2021-07-04,34685.03,35951.0,34390.53,35284.05,24924307911
2021-07-05,35284.06,35290.82,33156.86,33697.78,26721554282
2021-07-06,33697.78,35100.0,33300.0,34225.73,26501259870
2021-07-07,34225.72,35077.46,33770.01,33878.56,24796027477
2021-07-08,33879.5,33934.62,32111.0,32875.95,29910396946
2021-07-09,32875.95,34100.0,32255.24,33824.26,27436021028
2021-07-10,33824.25,34267.14,33027.83,33515.35,22971873468
2021-07-11,33515.35,34607.37,33333.33,34259.23,20108729370
2021-07-12,34259.22,34670.0,32665.0,33091.1,24321499537
2021-07-13,33077.43,33337.61,32201.12,32734.14,19120856669
2021-07-14,32734.14,33125.55,31600.0,32816.39,21376531210
2021-07-15,32815.75,33187.6,31064.77,31868.68,21300524237
2021-07-16,31872.49,32259.16,31025.42,31388.06,23699476918
2021-07-17,31389.57,31949.99,31179.01,31533.91,18895018942
2021-07-18,31533.9,32450.0,31125.6,31788.25,18787986667
2021-07-19,31786.37,31887.82,30429.99,30842.03,20434789545
2021-07-20,30842.04,31052.65,29301.56,29796.16,23148267245
2021-07-21,29796.15,32825.0,29501.02,32135.19,28203024559
2021-07-22,32152.68,32611.84,31729.68,32287.74,19555230518
2021-07-23,32287.75,33647.27,32000.0,33647.26,22552046192
2021-07-24,33647.27,34525.0,33424.7,34283.01,21664706865
2021-07-25,34291.67,35451.04,33888.89,35428.26,20856685287
2021-07-26,35428.25,40593.93,35251.54,37262.77,51022126212
2021-07-27,37262.76,39550.0,36413.26,39470.48,35097370560
2021-07-28,39475.99,40925.56,38803.34,40035.1,38702404695
2021-07-29,40035.1,40644.85,39229.47,40039.44,27167146027
2021-07-30,40039.44,42320.57,38342.0,42237.95,33072782960
2021-07-31,42233.66,42414.61,41064.11,41495.01,25802845343
2021-08-01,41499.0,42605.64,39426.0,39865.41,26688438115
2021-08-02,39859.18,40459.68,38690.0,39149.59,25595265436
2021-08-03,39149.59,39785.3,37627.21,38191.44,26189830450
2021-08-04,38189.4,39965.1,37509.0,39722.41,25372562724
2021-08-05,39718.9,41447.89,37300.0,40888.74,35185031017
2021-08-06,40888.73,43399.26,39876.74,42869.58,38226483046
2021-08-07,42869.59,44750.0,42457.27,44637.34,40030862141
2021-08-08,44628.11,45363.83,43131.97,43829.14,36302664750
2021-08-09,43829.15,46497.42,42821.3,46285.48,38734079049
2021-08-10,46280.0,46718.44,44650.27,45595.66,33546019517
2021-08-11,45601.82,46781.09,45350.74,45553.49,34319709073
2021-08-12,45553.1,46223.95,43714.36,44422.14,33723620826
2021-08-13,44422.15,47953.9,44249.64,47833.64,31744259539
2021-08-14,47833.64,48176.52,46034.93,47109.65,31211354442
2021-08-15,47109.64,47400.0,45525.19,47014.49,30988958446
2021-08-16,47014.38,48076.52,45676.91,45902.46,32776876610
2021-08-17,45903.22,47174.62,44405.39,44671.58,33451362600
2021-08-18,44675.34,46035.27,44216.47,44707.98,32194123075
2021-08-19,44709.1,47088.08,43955.0,46765.87,37204312299
2021-08-20,46769.02,49400.0,46644.95,49342.4,34706867452
2021-08-21,49349.99,49821.92,48285.28,48867.02,40585205312
2021-08-22,48870.21,49526.13,48102.89,49284.63,25370975378
2021-08-23,49284.38,50505.0,49012.84,49506.5,34305053719
2021-08-24,49504.53,49875.9,47600.0,47682.45,35361168834
2021-08-25,47682.45,49277.0,47122.02,48987.33,32646349931
2021-08-26,48991.57,49365.1,46315.48,46851.47,32666549568
2021-08-27,46851.47,49185.12,46361.01,49077.57,34511076995
2021-08-28,49081.08,49309.83,48370.0,48942.94,28568103401
2021-08-29,48942.89,49667.1,47801.0,48802.58,25889650240
2021-08-30,48802.58,48906.51,46866.0,46993.71,31847007016
2021-08-31,46996.8,48259.68,46708.93,47112.5,34730363427
2021-09-01,47110.33,49125.0,46537.62,48839.86,39139399125
2021-09-02,48834.27,50392.19,48620.73,49279.37,39508070319
2021-09-03,49279.38,51064.44,48349.66,50025.0,43206179619
2021-09-04,50025.0,50558.75,49400.0,49942.98,37471327794
2021-09-05,49944.89,51907.08,49500.0,51789.17,30322676319
2021-09-06,51789.17,52802.03,51020.08,52698.81,38884105426
2021-09-07,52698.8,52944.96,42830.77,46894.5,65210059683
2021-09-08,46894.49,47381.47,44423.49,46060.36,49007762488
2021-09-09,46059.94,47400.0,45511.82,46400.0,38672657013
2021-09-10,46396.26,47040.76,44140.48,44851.45,39154666597
2021-09-11,44850.37,45989.94,44730.29,45171.83,34499835245
2021-09-12,45173.66,46462.98,44754.31,46024.23,27881980161
2021-09-13,46027.8,46900.0,43465.0,44947.72,40969943253
2021-09-14,44953.23,47274.92,44679.92,47127.22,38652152880
2021-09-15,47127.81,48475.0,46705.0,48148.12,30484496466
2021-09-16,48144.03,48499.99,47020.82,47753.16,31764293754
2021-09-17,47753.15,48176.64,46752.67,47303.5,28727713711
2021-09-18,47306.87,48825.62,47050.0,48314.56,28575630451
2021-09-19,48309.86,48379.19,46850.87,47255.92,26967722648
2021-09-20,47253.71,47358.92,42500.0,43012.97,43909845642
2021-09-21,43007.69,43639.88,39600.0,40719.6,48701090088
2021-09-22,40736.81,44035.44,40570.42,43575.1,38139709246
2021-09-23,43575.19,45000.0,43096.73,44897.59,34244064430
2021-09-24,44896.55,45200.0,40683.29,42848.92,42839345714
2021-09-25,42848.44,42998.76,41675.0,42705.51,31604717236
2021-09-26,42705.51,43937.0,40803.0,43178.02,30661222077
2021-09-27,43172.17,44366.96,42111.0,42171.76,30980029059
2021-09-28,42166.31,42780.0,40897.7,41026.07,30214940550
2021-09-29,41030.19,42638.99,40750.12,41522.16,30602359905
2021-09-30,41519.11,44110.17,41409.67,43824.43,31141681925
2021-10-01,43828.89,48500.0,43287.44,48165.76,42850641582
2021-10-02,48165.76,48359.33,47451.0,47657.69,30614346492
2021-10-03,47663.74,49300.0,47120.11,48233.99,26638115879
2021-10-04,48233.99,49505.0,46916.7,49245.54,33383173002
2021-10-05,49244.13,51906.23,49057.18,51493.99,35873904236
2021-10-06,51499.77,55757.11,50416.01,55339.48,49034730168
