ch_len,trail,exit_ema,risk,avg_cagr,min_cagr,avg_dd,worst_dd,avg_sharpe,score
40,3.0,20,100.0,23.0,7.2,-46.5,-73.3,0.64,0.31377899045020463
40,5.0,20,2.0,3.1,1.4,-6.5,-10.0,0.62,0.31
40,3.0,30,1.5,3.3,0.8,-7.4,-10.8,0.54,0.3055555555555555
40,3.0,30,3.0,6.2,1.6,-13.6,-20.4,0.56,0.303921568627451
40,3.0,30,2.0,4.3,1.1,-9.6,-14.2,0.55,0.3028169014084507
40,4.0,30,3.0,5.3,2.9,-12.4,-17.6,0.59,0.3011363636363636
40,3.0,30,100.0,22.1,7.0,-46.4,-73.9,0.62,0.29905277401894453
40,4.0,30,2.0,3.7,2.0,-8.8,-12.4,0.57,0.29838709677419356
40,4.0,30,1.5,2.8,1.5,-6.9,-9.5,0.56,0.29473684210526313
40,5.0,30,3.0,4.4,2.6,-10.2,-15.2,0.58,0.2894736842105263
55,3.0,30,100.0,21.7,4.8,-43.2,-75.2,0.61,0.28856382978723405
40,5.0,30,1.5,2.3,1.3,-5.5,-8.1,0.56,0.2839506172839506
40,5.0,30,2.0,3.0,1.8,-7.1,-10.6,0.57,0.2830188679245283
55,3.0,20,100.0,21.0,7.4,-43.9,-76.2,0.61,0.2755905511811024
55,4.0,20,3.0,4.8,1.7,-11.7,-17.9,0.57,0.2681564245810056
55,5.0,20,3.0,4.0,1.8,-9.4,-15.0,0.58,0.26666666666666666
55,4.0,20,2.0,3.3,1.2,-8.3,-12.4,0.56,0.2661290322580645
55,3.0,30,1.5,2.9,0.5,-7.1,-10.9,0.49,0.2660550458715596
55,5.0,20,1.5,2.1,0.9,-5.1,-7.9,0.57,0.26582278481012656
55,4.0,30,3.0,4.8,2.5,-12.3,-18.2,0.55,0.26373626373626374
55,4.0,20,1.5,2.5,0.9,-6.4,-9.5,0.55,0.2631578947368421
55,3.0,30,3.0,5.4,1.0,-13.1,-20.6,0.51,0.2621359223300971
55,5.0,20,2.0,2.7,1.2,-6.6,-10.3,0.57,0.2621359223300971
55,3.0,20,2.0,3.8,1.2,-8.6,-14.5,0.52,0.26206896551724135
55,4.0,30,2.0,3.3,1.7,-8.7,-12.6,0.54,0.2619047619047619
55,3.0,20,1.5,2.9,0.9,-6.7,-11.1,0.51,0.26126126126126126
55,3.0,30,2.0,3.7,0.7,-9.2,-14.2,0.5,0.2605633802816902
55,3.0,20,3.0,5.4,1.7,-12.2,-20.8,0.53,0.25961538461538464
55,4.0,30,1.5,2.5,1.3,-6.8,-9.7,0.53,0.2577319587628866
55,5.0,30,1.5,2.1,1.1,-5.6,-8.2,0.54,0.25609756097560976
55,5.0,30,3.0,4.0,2.0,-10.3,-15.7,0.55,0.25477707006369427
55,5.0,30,2.0,2.7,1.4,-7.2,-10.8,0.54,0.25
